,Interface,AE Interface,Link-To,ip,vlan
A303-03-1,Ge-0/0/0,ae0,A303-03-03,193.30.10.254/24,10
,Ge-1/0/0,,,,
,Ge-0/0/1,ae1,A303-03-04,172.30.12.1/30,8
,Ge-1/0/1,,,,
,Ge-0/0/2,ae2,A303-03-05,172.30.51.1/30,2
,Ge-1/0/2,,,,
,Ge-0/0/3,ae3,A303-03-05,172.30.52.1/30,3
,Ge-1/0/3,,,,
,Ge-0/0/4,ae4,A303-03-05,172.30.53.1/30,4
,Ge-1/0/4,,,,
,Ge-0/0/5,ae5,A303-03-06,172.30.71.1/30,11
,Ge-1/0/5,,,,
,Ge-0/0/6,ae6,A303-03-06,172.30.72.1/30,12
,Ge-1/0/6,,,,
,Ge-0/0/7,ae7,A303-03-06,172.30.73.1/30,13
,Ge-1/0/7,,,,
,Ge-0/0/8,ae8,A303-03-06,172.30.74.1/30,14
,Ge-1/0/8,,,,
,Ge-0/0/9,ae9,A303-03-07,172.30.13.245/30,
,Ge-1/0/9,,,,To SRX
,Ge-0/0/10,ae10,ADM1,,10
,Ge-1/0/10,,,,
,Ge-0/0/11,ae11,ADM2,,10
,Ge-1/0/11,,,,
,Ge-0/0/12,ae12,BRS,,10
,Ge-1/0/12,,,,
,Ge-2/0/0,ae13,COM1,,10
,Ge-3/0/0,,,,
,Ge-2/0/1,ae14,COM2,,10
,Ge-3/0/1,,,,
,Ge-2/0/2,ae15,IFS1,,10
,Ge-3/0/2,,,,
,Ge-2/0/3,ae16,IFS2,,10
,Ge-3/0/3,,,,
,Ge-2/0/4,ae17,UI1,,10
,Ge-3/0/4,,,,
,Ge-2/0/5,ae18,UI2,,10
,Ge-3/0/5,,,,
,Ge-2/0/6,ae19,DC1,,10
,Ge-3/0/6,,,,
,Ge-2/0/7,ae20,DC1,,10
,Ge-3/0/7,,,,
,Ge-2/0/8,ae21,Workstation,,10
,Ge-3/0/8,,,,
,Ge-2/0/9,ae22,Workstation,,10
,Ge-3/0/9,,,,
,Ge-2/0/10,ae23,Workstation,,10
,Ge-3/0/10,,,,
,Ge-2/0/11,ae24,Workstation,,10
,Ge-3/0/11,,,,
,Ge-2/0/12,ae25,Workstation,,10
,Ge-3/0/12,,,,
,Ge-0/0/13,,Color printer,,10
,,,,,
,Ge-1/0/13,,B/W printer,,10
,,,,,
