????,Interface,????,ip,vlan
A303-03-9,Ge-0/0/0,A303-03-8,172.30.202.2/30,220
,Ge-1/0/0,,,
,Ge-0/0/1,EOS seril port1,,200
,Ge-1/0/1,EOS seril port2,,
,Ge-0/0/2,EOS IFS Server#1 port 5~6,,200
,Ge-1/0/2,,,
,,ES1 VLAN,172.10.220.5/30,201
,Ge-2/0/3,,,
,,ES2 VLAN,172.10.221.5/30,202
,Ge-2/0/4,,,
,,ES3 VLAN,172.10.222.5/30,203
,Ge-2/0/5,,,
,,ES4 VLAN,172.10.223.5/30,204
,Ge-2/0/6,,,
,,ES5 VLAN,172.10.224.5/30,205
,Ge-2/0/7,,,
,,ES6 VLAN,172.10.225.5/30,206
,Ge-2/0/8,,,
,,ES7 VLAN,172.10.226.5/30,207
,Ge-2/0/9,,,
,,ES8 VLAN,172.10.227.5/30,208
,Ge-2/0/10,,,
,,ES9 VLAN,172.10.228.5/30,209
,Ge-2/0/11,,,
,,ES10 VLAN,172.10.229.5/30,210
,Ge-2/0/12,,,
,,ES11 VLAN,172.10.230.5/30,211
,Ge-2/0/13,,,
,,ES12 VLAN,172.10.231.5/30,212
,Ge-2/0/14,,,
,,ES13 VLAN,172.10.232.5/30,213
,Ge-2/0/15,,,
,,,,
,,,,
