,Interface,AE Interface,Link-To,ip,vlan
Online,Ge-0/0/0,,BS2ESTC,193.30.14.250/24,70
BS1OSTC,Ge-0/0/1,,ADM1,,70
,Ge-0/0/2,,ADM2,,70
,Ge-0/0/3,,COM1,,70
,Ge-0/0/4,,COM2,,70
,Ge-0/0/5,,IFS1,,70
,Ge-0/0/6,,IFS2,,70
,Ge-0/0/7,,UI1,,70
,Ge-0/0/8,,UI2,,70
,Ge-0/0/9,,DC1,,70
,Ge-0/0/10,,DC2,,70
,Ge-0/0/11,,DEV-ADM,,70
,Ge-0/0/12,,DEV-COM,,70
,Ge-0/0/13,,DEV-IFS,,70
,Ge-0/0/14,,DEV-UI,,70
,Ge-0/0/15,,BRS1,,70
EOS,Ge-0/0/0,,BS1OSTC,193.30.14.251/24,70
BS2ESTC,Ge-0/0/1,,ADM,,70
,Ge-0/0/2,,COM,,70
,Ge-0/0/3,,IFS,,70
,Ge-0/0/4,,UI,,70
,Ge-0/0/5,,DC,,70
DMZ,Ge-0/0/0,,HIS1,193.30.14.252/24,70
BS3ZSTC,Ge-0/0/1,,HIS2,,70
,Ge-0/0/2,,WEB1,,70
,Ge-0/0/3,,BRS2,,70
